title,country,awards
Yes Man,Australia,0
1408,USA,0
28 Weeks Later,UK,0
28 Weeks Later,Spain,0
3:10 to Yuma,USA,0
30 Days of Night,USA,0
30 Days of Night,New Zealand,0
88 Minutes,USA,0
88 Minutes,Germany,0
88 Minutes,Canada,0
Across the Universe,USA,0
Across the Universe,UK,0
Atonement,UK,1
Atonement,France,1
Atonement,USA,1
Becoming Jane,UK,0
Becoming Jane,Ireland,0
Beowulf,USA,0
Blades of Glory,USA,0
Bridge to Terabithia,USA,0
Charlie Bartlett,USA,0
Death at a Funeral,USA,0
Death at a Funeral,Germany,0
Death at a Funeral,UK,0
Death at a Funeral,Netherlands,0
Diary of the Dead,USA,0
Disturbia,USA,0
Eastern Promises,USA,0
Eastern Promises,UK,0
Eastern Promises,Canada,0
Enchanted,USA,0
Gone Baby Gone,USA,0
Hairspray,USA,0
Hairspray,UK,0
Halloween,USA,0
Hannibal Rising,UK,0
Hannibal Rising,Czech Republic,0
Hannibal Rising,France,0
Hannibal Rising,Italy,0
Harry Potter and the Order of the Phoenix,UK,0
Harry Potter and the Order of the Phoenix,USA,0
Hitman,France,0
Hitman,USA,0
Hostel: Part II,USA,0
Hot Fuzz,UK,0
Hot Fuzz,France,0
Hot Fuzz,USA,0
Hot Rod,USA,0
I Am Legend,USA,0
Into the Wild,USA,0
Juno,USA,1
Knocked Up,USA,0
Live Free or Die Hard,USA,0
Live Free or Die Hard,UK,0
Michael Clayton,USA,1
Music and Lyrics,USA,0
No Country for Old Men,USA,4
No Reservations,USA,0
No Reservations,Australia,0
Paranormal Activity,USA,0
Persepolis,France,0
Persepolis,USA,0
Premonition,USA,0
Ratatouille,USA,1
Resident Evil: Extinction,France,0
Resident Evil: Extinction,Australia,0
Resident Evil: Extinction,Germany,0
Resident Evil: Extinction,UK,0
Resident Evil: Extinction,USA,0
Shooter,USA,0
Shrek the Third,USA,0
Stardust,UK,0
Stardust,USA,0
Stardust,Iceland,0
Sunshine,UK,0
Sunshine,USA,0
Superbad,USA,0
Teeth,USA,0
The Bucket List,USA,0
The Golden Compass,USA,1
The Golden Compass,UK,1
The Kite Runner,USA,0
The Kite Runner,China,0
The Messengers,USA,0
The Mist,USA,0
The Number 23,USA,0
The Number 23,Germany,0
The Savages,USA,0
The Signal,USA,0
The Simpsons Movie,USA,0
The Visitor,USA,0
There Will Be Blood,USA,2
TMNT,Hong Kong,0
TMNT,USA,0
Transformers,USA,0
Waitress,USA,0
We Own the Night,USA,0
300,USA,0
A Scanner Darkly,USA,0
Akeelah and the Bee,USA,0
Aquamarine,USA,0
Aquamarine,Australia,0
Blood Diamond,USA,0
Blood Diamond,Germany,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,USA,0
Bug,USA,0
Bug,Germany,0
Cars,USA,0
Casino Royale,UK,0
Casino Royale,Czech Republic,0
Casino Royale,USA,0
Casino Royale,Germany,0
Casino Royale,Bahamas,0
Children of Men,USA,0
Children of Men,UK,0
Clerks II,USA,0
Crank,USA,0
DOA: Dead or Alive,USA,0
DOA: Dead or Alive,Germany,0
DOA: Dead or Alive,UK,0
Eragon,USA,0
Eragon,UK,0
Eragon,Hungary,0
Fido,Canada,0
Final Destination 3,Germany,0
Final Destination 3,USA,0
Final Destination 3,Canada,0
Flushed Away,UK,0
Flushed Away,USA,0
For Your Consideration,USA,0
Friends with Money,USA,0
Ice Age: The Meltdown,USA,0
Idlewild,USA,0
Inside Man,USA,0
Lady in the Water,USA,0
Last Holiday,USA,0
Letters from Iwo Jima,USA,1
Little Children,USA,0
Little Miss Sunshine,USA,2
Lucky Number Slevin,Germany,0
Lucky Number Slevin,USA,0
Man of the Year,USA,0
Marie Antoinette,USA,1
Marie Antoinette,France,1
Marie Antoinette,Japan,1
Miss Potter,UK,0
Miss Potter,USA,0
Miss Potter,Isle Of Man,0
Monster House,USA,0
Nacho Libre,Germany,0
Nacho Libre,USA,0
Night at the Museum,USA,0
Night at the Museum,UK,0
Notes on a Scandal,UK,0
Once,Ireland,1
Open Season,USA,0
Perfume: The Story of a Murderer,Germany,0
Perfume: The Story of a Murderer,France,0
Perfume: The Story of a Murderer,Spain,0
Perfume: The Story of a Murderer,USA,0
Poseidon,USA,0
Rang De Basanti,India,0
Running with Scissors,USA,0
Sherrybaby,USA,0
Shortbus,USA,0
Silent Hill,Canada,0
Silent Hill,France,0
Silent Hill,Japan,0
Silent Hill,USA,0
Slither,Canada,0
Slither,USA,0
Snakes on a Plane,Germany,0
Snakes on a Plane,USA,0
Snakes on a Plane,Canada,0
Southland Tales,France,0
Southland Tales,Germany,0
Southland Tales,USA,0
Stranger Than Fiction,USA,0
Superman Returns,USA,0
Take the Lead,USA,0
The Ant Bully,USA,0
The Da Vinci Code,USA,0
The Da Vinci Code,Malta,0
The Da Vinci Code,France,0
The Da Vinci Code,UK,0
The Dead Girl,USA,0
The Departed,USA,4
The Departed,Hong Kong,4
The Devil Wears Prada,USA,0
The Fountain,USA,0
The Fountain,Canada,0
The Grudge 2,USA,0
The Grudge 2,Japan,0
The History Boys,UK,0
The Holiday,USA,0
The Host,South Korea,0
The Illusionist,USA,0
The Illusionist,Czech Republic,0
The Lake House,USA,0
The Lake House,Australia,0
The Painted Veil,China,0
The Painted Veil,USA,0
The Painted Veil,Canada,0
The Prestige,USA,0
The Prestige,UK,0
The Pursuit of Happyness,USA,0
The Queen,UK,1
The Queen,USA,1
The Queen,France,1
The Queen,Italy,1
The Wind That Shakes the Barley,Ireland,0
The Wind That Shakes the Barley,UK,0
The Wind That Shakes the Barley,Germany,0
The Wind That Shakes the Barley,Italy,0
The Wind That Shakes the Barley,Spain,0
The Wind That Shakes the Barley,France,0
The Wind That Shakes the Barley,Belgium,0
The Wind That Shakes the Barley,Switzerland,0
Volver,Spain,0
We Are Marshall,USA,0
When a Stranger Calls,USA,0
Wristcutters: A Love Story,USA,0
Wristcutters: A Love Story,UK,0
X-Men: The Last Stand,Canada,0
X-Men: The Last Stand,USA,0
X-Men: The Last Stand,UK,0
"You, Me and Dupree",USA,0
Zoom,USA,0
Assault on Precinct 13,USA,0
Assault on Precinct 13,France,0
Batman Begins,USA,0
Batman Begins,UK,0
Beauty Shop,USA,0
